{'acc': 97.92705167173253, 'f1': 87.6470588235294, 'p': 90.30303030303031, 'r': 85.14285714285714, 'f1_per': 95.45454545454547, 'p_per': 96.92307692307692, 'r_per': 94.02985074626866, 'f1_loc': 86.37992831541219, 'p_loc': 90.6015037593985, 'r_loc': 82.53424657534246, 'f1_org': 81.77339901477833, 'p_org': 83.41708542713567, 'r_org': 80.19323671497585}
{'acc': 97.98176291793314, 'f1': 88.64468864468866, 'p': 90.97744360902256, 'r': 86.42857142857143, 'f1_per': 96.46464646464646, 'p_per': 97.94871794871794, 'r_per': 95.02487562189054, 'f1_loc': 89.1651865008881, 'p_loc': 92.619926199262, 'r_loc': 85.95890410958904, 'f1_org': 80.29556650246306, 'p_org': 81.90954773869346, 'r_org': 78.74396135265701}
{'acc': 97.98176291793314, 'f1': 89.18128654970761, 'p': 91.31736526946108, 'r': 87.14285714285714, 'f1_per': 96.98492462311556, 'p_per': 97.96954314720813, 'r_per': 96.01990049751244, 'f1_loc': 88.77005347593582, 'p_loc': 92.56505576208178, 'r_loc': 85.27397260273972, 'f1_org': 82.1515892420538, 'p_org': 83.16831683168317, 'r_org': 81.15942028985508}
{'acc': 98.19452887537994, 'f1': 89.49301983835414, 'p': 92.13313161875945, 'r': 87.0, 'f1_per': 96.48241206030151, 'p_per': 97.46192893401016, 'r_per': 95.52238805970148, 'f1_loc': 88.57142857142857, 'p_loc': 92.53731343283582, 'r_loc': 84.93150684931507, 'f1_org': 83.87096774193549, 'p_org': 86.22448979591837, 'r_org': 81.64251207729468}
{'acc': 97.98784194528875, 'f1': 88.69309838472834, 'p': 91.23867069486404, 'r': 86.28571428571429, 'f1_per': 97.47474747474747, 'p_per': 98.97435897435898, 'r_per': 96.01990049751244, 'f1_loc': 87.85714285714286, 'p_loc': 91.7910447761194, 'r_loc': 84.24657534246576, 'f1_org': 81.28078817733991, 'p_org': 82.91457286432161, 'r_org': 79.71014492753623}
{'acc': 97.90273556231003, 'f1': 88.45029239766082, 'p': 90.5688622754491, 'r': 86.42857142857143, 'f1_per': 96.98492462311556, 'p_per': 97.96954314720813, 'r_per': 96.01990049751244, 'f1_loc': 87.74422735346359, 'p_loc': 91.14391143911439, 'r_loc': 84.58904109589042, 'f1_org': 81.08108108108108, 'p_org': 82.5, 'r_org': 79.71014492753623}
{'acc': 97.98176291793314, 'f1': 89.73607038123167, 'p': 92.16867469879519, 'r': 87.42857142857143, 'f1_per': 97.22921914357683, 'p_per': 98.46938775510205, 'r_per': 96.01990049751244, 'f1_loc': 89.12655971479501, 'p_loc': 92.93680297397769, 'r_loc': 85.61643835616438, 'f1_org': 83.25123152709358, 'p_org': 84.92462311557789, 'r_org': 81.64251207729468}
{'acc': 98.04863221884499, 'f1': 89.62472406181014, 'p': 92.41274658573596, 'r': 87.0, 'f1_per': 95.97989949748744, 'p_per': 96.95431472081218, 'r_per': 95.02487562189054, 'f1_loc': 88.61209964412812, 'p_loc': 92.22222222222223, 'r_loc': 85.27397260273972, 'f1_org': 84.71177944862156, 'p_org': 88.02083333333334, 'r_org': 81.64251207729468}
{'acc': 98.03647416413374, 'f1': 88.8888888888889, 'p': 91.01796407185628, 'r': 86.85714285714286, 'f1_per': 96.48241206030151, 'p_per': 97.46192893401016, 'r_per': 95.52238805970148, 'f1_loc': 88.41354723707666, 'p_loc': 92.19330855018588, 'r_loc': 84.93150684931507, 'f1_org': 82.1515892420538, 'p_org': 83.16831683168317, 'r_org': 81.15942028985508}
{'acc': 98.27963525835867, 'f1': 90.10989010989012, 'p': 92.4812030075188, 'r': 87.85714285714286, 'f1_per': 97.22921914357683, 'p_per': 98.46938775510205, 'r_per': 96.01990049751244, 'f1_loc': 89.00709219858156, 'p_loc': 92.27941176470588, 'r_loc': 85.95890410958904, 'f1_org': 84.65346534653466, 'p_org': 86.80203045685279, 'r_org': 82.6086956521739}
{'acc': 98.10334346504558, 'f1': 88.59455481972039, 'p': 91.350531107739, 'r': 86.0, 'f1_per': 95.73934837092733, 'p_per': 96.46464646464646, 'r_per': 95.02487562189054, 'f1_loc': 87.90035587188612, 'p_loc': 91.48148148148148, 'r_loc': 84.58904109589042, 'f1_org': 82.41206030150754, 'p_org': 85.86387434554975, 'r_org': 79.22705314009661}
{'acc': 98.33434650455926, 'f1': 89.33038999264164, 'p': 92.1092564491654, 'r': 86.71428571428571, 'f1_per': 97.48743718592965, 'p_per': 98.47715736040608, 'r_per': 96.51741293532339, 'f1_loc': 87.90035587188612, 'p_loc': 91.48148148148148, 'r_loc': 84.58904109589042, 'f1_org': 83.20802005012531, 'p_org': 86.45833333333334, 'r_org': 80.19323671497585}
{'acc': 98.12765957446808, 'f1': 89.49301983835414, 'p': 92.13313161875945, 'r': 87.0, 'f1_per': 96.72544080604534, 'p_per': 97.95918367346938, 'r_per': 95.52238805970148, 'f1_loc': 88.77005347593582, 'p_loc': 92.56505576208178, 'r_loc': 85.27397260273972, 'f1_org': 83.37468982630271, 'p_org': 85.71428571428571, 'r_org': 81.15942028985508}
{'acc': 98.04863221884499, 'f1': 89.23076923076923, 'p': 91.57894736842105, 'r': 87.0, 'f1_per': 97.47474747474747, 'p_per': 98.97435897435898, 'r_per': 96.01990049751244, 'f1_loc': 88.80994671403198, 'p_loc': 92.25092250922509, 'r_loc': 85.61643835616438, 'f1_org': 81.77339901477833, 'p_org': 83.41708542713567, 'r_org': 80.19323671497585}
{'acc': 98.10942249240121, 'f1': 89.1002194586686, 'p': 91.30434782608695, 'r': 87.0, 'f1_per': 96.2406015037594, 'p_per': 96.96969696969697, 'r_per': 95.52238805970148, 'f1_loc': 87.78761061946902, 'p_loc': 90.84249084249085, 'r_loc': 84.93150684931507, 'f1_org': 83.87096774193549, 'p_org': 86.22448979591837, 'r_org': 81.64251207729468}
{'acc': 98.32826747720364, 'f1': 90.25641025641025, 'p': 92.63157894736842, 'r': 88.0, 'f1_per': 97.48743718592965, 'p_per': 98.47715736040608, 'r_per': 96.51741293532339, 'f1_loc': 89.71631205673759, 'p_loc': 93.01470588235294, 'r_loc': 86.64383561643835, 'f1_org': 83.87096774193549, 'p_org': 86.22448979591837, 'r_org': 81.64251207729468}
{'acc': 98.35258358662614, 'f1': 90.37472446730345, 'p': 93.04084720121028, 'r': 87.85714285714286, 'f1_per': 97.73299748110831, 'p_per': 98.9795918367347, 'r_per': 96.51741293532339, 'f1_loc': 89.28571428571429, 'p_loc': 93.28358208955224, 'r_loc': 85.61643835616438, 'f1_org': 84.65346534653466, 'p_org': 86.80203045685279, 'r_org': 82.6086956521739}
{'acc': 98.24924012158056, 'f1': 90.36496350364963, 'p': 92.38805970149254, 'r': 88.42857142857142, 'f1_per': 97.97979797979798, 'p_per': 99.48717948717949, 'r_per': 96.51741293532339, 'f1_loc': 89.91150442477877, 'p_loc': 93.04029304029304, 'r_loc': 86.98630136986301, 'f1_org': 83.61858190709046, 'p_org': 84.65346534653465, 'r_org': 82.6086956521739}
{'acc': 98.24924012158056, 'f1': 90.0953778429934, 'p': 92.60935143288084, 'r': 87.71428571428571, 'f1_per': 97.24310776942356, 'p_per': 97.97979797979798, 'r_per': 96.51741293532339, 'f1_loc': 88.61209964412812, 'p_loc': 92.22222222222223, 'r_loc': 85.27397260273972, 'f1_org': 85.07462686567165, 'p_org': 87.6923076923077, 'r_org': 82.6086956521739}
{'acc': 98.1580547112462, 'f1': 90.38884812912691, 'p': 92.91101055806938, 'r': 88.0, 'f1_per': 96.72544080604534, 'p_per': 97.95918367346938, 'r_per': 95.52238805970148, 'f1_loc': 89.3169877408056, 'p_loc': 91.39784946236558, 'r_loc': 87.32876712328768, 'f1_org': 85.56962025316454, 'p_org': 89.8936170212766, 'r_org': 81.64251207729468}
{'acc': 98.09726443768997, 'f1': 89.26223520818117, 'p': 91.33034379671152, 'r': 87.28571428571429, 'f1_per': 96.2406015037594, 'p_per': 96.96969696969697, 'r_per': 95.52238805970148, 'f1_loc': 88.8888888888889, 'p_loc': 91.63636363636364, 'r_loc': 86.3013698630137, 'f1_org': 82.87841191066998, 'p_org': 85.20408163265306, 'r_org': 80.67632850241546}
{'acc': 98.17021276595744, 'f1': 89.53913679590345, 'p': 91.75412293853074, 'r': 87.42857142857143, 'f1_per': 97.22921914357683, 'p_per': 98.46938775510205, 'r_per': 96.01990049751244, 'f1_loc': 89.39929328621909, 'p_loc': 92.33576642335767, 'r_loc': 86.64383561643835, 'f1_org': 82.17821782178217, 'p_org': 84.26395939086294, 'r_org': 80.19323671497585}
{'acc': 98.10334346504558, 'f1': 89.27789934354486, 'p': 91.20715350223547, 'r': 87.42857142857143, 'f1_per': 97.0, 'p_per': 97.48743718592965, 'r_per': 96.51741293532339, 'f1_loc': 89.20353982300885, 'p_loc': 92.3076923076923, 'r_loc': 86.3013698630137, 'f1_org': 81.77339901477833, 'p_org': 83.41708542713567, 'r_org': 80.19323671497585}
{'acc': 98.29787234042553, 'f1': 89.96336996336996, 'p': 92.33082706766918, 'r': 87.71428571428571, 'f1_per': 96.72544080604534, 'p_per': 97.95918367346938, 'r_per': 95.52238805970148, 'f1_loc': 89.63093145869948, 'p_loc': 92.05776173285199, 'r_loc': 87.32876712328768, 'f1_org': 83.7092731829574, 'p_org': 86.97916666666666, 'r_org': 80.67632850241546}
{'acc': 98.53495440729483, 'f1': 91.04258443465491, 'p': 93.65558912386706, 'r': 88.57142857142857, 'f1_per': 97.24310776942356, 'p_per': 97.97979797979798, 'r_per': 96.51741293532339, 'f1_loc': 89.98242530755711, 'p_loc': 92.4187725631769, 'r_loc': 87.67123287671232, 'f1_org': 86.29441624365482, 'p_org': 90.9090909090909, 'r_org': 82.1256038647343}
